iter	RMSE
0	0.4391918316
1	0.4092282362
2	0.3847620139
3	0.362867958
4	0.3413526343
5	0.3219930738
6	0.3041830817
7	0.2893812437
8	0.276390245
9	0.2629800955
10	0.251214503
11	0.2413884763
12	0.2325938687
13	0.2246914479
14	0.216406885
15	0.2101588488
16	0.2047357782
17	0.1996207081
18	0.1953190158
19	0.1913446961
20	0.1879013447
21	0.1848286235
22	0.1819301987
23	0.178920885
24	0.17698859
25	0.1749461718
26	0.1723183092
27	0.1712005697
28	0.1697555543
29	0.1669398921
30	0.165877337
31	0.1644660088
32	0.1632759812
33	0.1624021994
34	0.1613672441
35	0.1605578001
36	0.1598851676
37	0.1583484239
38	0.1566187475
39	0.1555914865
40	0.1550524232
41	0.154186791
42	0.1536221233
43	0.152969556
44	0.1526843274
45	0.1520930475
46	0.1515938098
47	0.1514442122
48	0.1509295353
49	0.150522193
50	0.1498918117
51	0.1494731834
52	0.1492441434
53	0.1483929867
54	0.1480426877
55	0.1475916952
56	0.1472393917
57	0.1468119351
58	0.1464529842
59	0.1461614678
60	0.1458418086
61	0.1451346841
62	0.1450067413
63	0.1447220694
64	0.1441293612
65	0.1434081258
66	0.1428575095
67	0.1426389208
68	0.1425214644
69	0.141903594
70	0.1408215016
71	0.1404388471
72	0.1402660453
73	0.139849551
74	0.1390092865
75	0.1382699064
76	0.1380821606
77	0.137664678
78	0.137484643
79	0.1368183922
80	0.1363131545
81	0.1358954019
82	0.1351216067
83	0.1347673295
84	0.1345873647
85	0.1343904324
86	0.134164925
87	0.1334834143
88	0.1328514697
89	0.1325941289
90	0.1322686178
91	0.1320074739
92	0.1315332547
93	0.131369957
94	0.131080869
95	0.1304634588
96	0.1302982864
97	0.1298325814
98	0.1294178106
99	0.1293027464
100	0.1291467648
101	0.1287196733
102	0.1284684199
103	0.1279710217
104	0.1277163941
105	0.127451092
106	0.1273034192
107	0.12699553
108	0.1265304096
109	0.1260189287
110	0.1258344868
111	0.1257921668
112	0.1256647696
113	0.1256280019
114	0.1254620909
115	0.125428824
116	0.1250734328
117	0.1249068131
118	0.1246725844
119	0.1246427796
120	0.1240784273
121	0.1237356403
122	0.1234686893
123	0.1229303915
124	0.1225283797
125	0.1223330782
126	0.1221428867
127	0.1218469368
128	0.121269659
129	0.1209018314
130	0.120446847
131	0.1199515226
132	0.1197544581
133	0.1195915375
134	0.1194044366
135	0.1192565975
136	0.1190661013
137	0.1189114402
138	0.118739319
139	0.118401806
140	0.1178189686
141	0.1173064733
142	0.1167804136
143	0.1162360124
144	0.1159187457
145	0.1154357466
146	0.1152389879
147	0.1150776712
148	0.11491931
149	0.1143182348
150	0.114118666
151	0.1139865581
152	0.1135268291
153	0.1132019405
154	0.1130573807
155	0.1129408838
156	0.1127825073
157	0.1122912843
158	0.1120225683
159	0.1116425529
160	0.111491274
161	0.111394819
162	0.1109955842
163	0.1106962247
164	0.1106615954
165	0.1104925693
166	0.1101077674
167	0.1098229935
168	0.1096701717
169	0.109538277
170	0.1094006096
171	0.1091753376
172	0.1090269784
173	0.1086932165
174	0.108403961
175	0.1082663824
176	0.1081255201
177	0.1081037006
178	0.1077431268
179	0.1076628459
180	0.1074248211
181	0.1069987893
182	0.1069091526
183	0.1065354697
184	0.1060763208
185	0.1059385669
186	0.105841506
187	0.1054615089
188	0.1054372885
189	0.1053136745
190	0.1050680104
191	0.1050491708
192	0.1047833247
193	0.1044792107
194	0.1041260844
195	0.1040413247
196	0.1038356265
197	0.1035096855
198	0.1033003808
199	0.1029482633
200	0.1026077656
201	0.1024844356
202	0.1022744949
203	0.1018626596
204	0.1014344076
205	0.1012667836
206	0.1011859841
207	0.1010108405
208	0.1005923499
209	0.1003932529
210	0.1002178158
211	0.09992518357
212	0.09985347947
213	0.09968950854
214	0.09935124857
215	0.09920579472
216	0.09907777334
217	0.09900813184
218	0.09867476734
219	0.09860064564
220	0.09807885481
221	0.09796550263
222	0.09788204272
223	0.09756554201
224	0.09731418507
225	0.09705738999
226	0.0969304859
227	0.09680214901
228	0.09674586201
229	0.09644237647
230	0.09623142159
231	0.09605583338
232	0.09583205168
233	0.0957088915
234	0.09541415892
235	0.09513129773
236	0.09486775907
237	0.09452842239
238	0.0944084004
239	0.09431142218
240	0.0942279642
241	0.09396858438
242	0.09380069826
243	0.09340270416
244	0.09320707336
245	0.09310413671
246	0.09278631626
247	0.0926129088
248	0.09245637668
249	0.09187488091
250	0.09167818371
251	0.09147807378
252	0.0913167761
253	0.0910845463
254	0.0907531605
255	0.09054426105
256	0.09029952359
257	0.09005963119
258	0.08997206792
259	0.08974141239
260	0.08945699282
261	0.08917292504
262	0.0888313909
263	0.08862997971
264	0.08840237184
265	0.08820482962
266	0.08815331609
267	0.08785576395
268	0.08768453407
269	0.08748838648
270	0.08722071227
271	0.08711001681
272	0.08687811262
273	0.08661561156
274	0.086427525
275	0.08603961677
276	0.08578651869
277	0.08570097214
278	0.08542792433
279	0.08519629766
280	0.08494037448
281	0.08455564492
282	0.08434107247
283	0.08411617718
284	0.08394308672
285	0.08392635977
286	0.08374967237
287	0.08361383719
288	0.08356271539
289	0.08330070054
290	0.08309587553
291	0.08299445065
292	0.08251243828
293	0.08226889593
294	0.08220131821
295	0.08199093962
296	0.08190477207
297	0.08172854472
298	0.08171237814
299	0.08169465984
300	0.08160398425
301	0.08144925297
302	0.08123776136
303	0.081093782
304	0.08095541008
305	0.08073635686
306	0.08058640852
307	0.08040706109
308	0.08025892381
309	0.08002879253
310	0.0799850688
311	0.0798326603
312	0.07966028029
313	0.07951220814
314	0.07936933332
315	0.07928862035
316	0.07921487207
317	0.07917443247
318	0.0789648405
319	0.0788914086
320	0.07880376198
321	0.07873553342
322	0.0786537082
323	0.07863944479
324	0.07840873734
325	0.07821173096
326	0.07784241646
327	0.07774870858
328	0.07743698219
329	0.07736617158
330	0.07711515876
331	0.07696536751
332	0.07694204088
333	0.07672596871
334	0.07656179467
335	0.0764018171
336	0.0763428452
337	0.07614735746
338	0.07587250462
339	0.07565882016
340	0.07557195974
341	0.07550646978
342	0.07531231573
343	0.07516663405
344	0.0750914105
345	0.07498236137
346	0.07493766804
347	0.07489045601
348	0.07475359492
349	0.07467520629
350	0.0746015586
351	0.07440067026
352	0.07422433804
353	0.07415520368
354	0.07389472341
355	0.07373233584
356	0.07367481258
357	0.07360658618
358	0.07349722082
359	0.07313007837
360	0.07296186099
361	0.07291260052
362	0.07285334843
363	0.07269093408
364	0.07262501809
365	0.07252325701
366	0.07235242286
367	0.07205793611
368	0.07202578372
369	0.07193310811
370	0.07190887859
371	0.07171146031
372	0.07167273649
373	0.07143559104
374	0.0713773584
375	0.0712124338
376	0.07100902036
377	0.0709967703
378	0.07084651942
379	0.07074137214
380	0.07068775103
381	0.07065364254
382	0.07050126103
383	0.0704300394
384	0.07039245495
385	0.07025573539
386	0.07010126447
387	0.07005749601
388	0.06986908076
389	0.06984596276
390	0.06981566099
391	0.06967777462
392	0.0696326757
393	0.06952816252
394	0.069275517
395	0.0690864652
396	0.06888669544
397	0.06881013243
398	0.06871708121
399	0.06855787023
400	0.06849394582
401	0.06839831121
402	0.06820498044
403	0.06804870608
404	0.0680345509
405	0.0678462603
406	0.06779008328
407	0.06765816965
408	0.06750430074
409	0.06744897505
410	0.06738573376
411	0.06735966767
412	0.06724656263
413	0.06711950138
414	0.06699585483
415	0.06688000212
416	0.06675054611
417	0.06661054422
418	0.06645732812
419	0.06625147466
420	0.06619573147
421	0.06605196889
422	0.06601491252
423	0.06598233534
424	0.06590897893
425	0.06576332992
426	0.06553153769
427	0.06548172764
428	0.06531461094
429	0.06522762448
430	0.06510949714
431	0.06496179892
432	0.06493648113
433	0.06469153026
434	0.06459268962
435	0.06446511458
436	0.06431075021
437	0.0642181286
438	0.06410054011
439	0.06398165878
440	0.06384412765
441	0.06379676577
442	0.06368914516
443	0.06352803073
444	0.0634872754
445	0.06318631445
446	0.06306667397
447	0.0629506531
448	0.06287313949
449	0.06279070164
450	0.06265928407
451	0.0625161194
452	0.0623836585
453	0.06229244235
454	0.06220999529
455	0.06216278149
456	0.06206967551
457	0.06200566918
458	0.06192632129
459	0.06181488137
460	0.0616516909
461	0.06147984059
462	0.06137739617
463	0.06121590182
464	0.06098596795
465	0.06092322556
466	0.06090344534
467	0.06086466583
468	0.06081829098
469	0.060782047
470	0.06058503614
471	0.06056076225
472	0.06051874968
473	0.06045186417
474	0.0603870557
475	0.0603449778
476	0.06019050701
477	0.0601143706
478	0.06007076947
479	0.05997144515
480	0.0599345054
481	0.05982366456
482	0.05970166739
483	0.05966463062
484	0.05959685748
485	0.05943079425
486	0.05934561111
487	0.05930625731
488	0.05918547359
489	0.0591082261
490	0.05903445156
491	0.05883571106
492	0.05873890309
493	0.05862889058
494	0.05855704218
495	0.05848094615
496	0.05834548449
497	0.05830440722
498	0.05827423914
499	0.05811571344
500	0.05800527047
501	0.05784437109
502	0.05779613109
503	0.05771540122
504	0.0576264306
505	0.05758866067
506	0.05748611323
507	0.05736070019
508	0.05722238863
509	0.05717496759
510	0.05707862653
511	0.05706599475
512	0.05703298279
513	0.05697958277
514	0.0569375918
515	0.05686348741
516	0.05676137753
517	0.05666427879
518	0.05650937769
519	0.05630363778
520	0.05619953398
521	0.05617630344
522	0.05614028959
523	0.05606034425
524	0.0557910628
525	0.05562769742
526	0.05554996303
527	0.05544884626
528	0.05534252088
529	0.05518650311
530	0.05507805656
531	0.05497183696
532	0.05483082088
533	0.05470380737
534	0.05467332088
535	0.05466187543
536	0.05465039427
537	0.05457523613
538	0.05450338236
539	0.05439076317
540	0.05431948276
541	0.05410974295
542	0.05402861493
543	0.05398966264
544	0.05391190012
545	0.05381367847
546	0.05377844896
547	0.05373504378
548	0.05360365571
549	0.05346669386
550	0.05345559823
551	0.0534193992
552	0.05334915309
553	0.05326388102
554	0.0531711739
555	0.0531356703
556	0.05296952393
557	0.05283147873
558	0.05273409108
559	0.05261557836
560	0.05252941347
561	0.05236727718
562	0.05235844814
563	0.05231660545
564	0.05223029573
565	0.05196399368
566	0.05186845122
567	0.05173016521
568	0.05164069159
569	0.05148226374
570	0.051438382
571	0.05130684045
572	0.05127997858
573	0.05125181987
574	0.0511711966
575	0.05114295228
576	0.05113310679
577	0.0511013535
578	0.05096702271
579	0.05090063925
580	0.05079732038
581	0.05077057667
582	0.05065227546
583	0.05056501753
584	0.05046270385
585	0.0502460381
586	0.05016942019
587	0.05015766927
588	0.05008446248
589	0.05001672867
590	0.04992960219
591	0.04981414437
592	0.04976528745
593	0.04965779644
594	0.04962059396
595	0.04954140127
596	0.04950803575
597	0.04940330942
598	0.04930384422
599	0.04927447605
600	0.04920545295
601	0.04911661551
602	0.04902915359
603	0.04896546286
604	0.04894142451
605	0.0488878706
606	0.04876459434
607	0.04873463998
608	0.04863474165
609	0.0485108714
610	0.04845988779
611	0.04837296817
612	0.04823315275
613	0.04816183295
614	0.04813294396
615	0.04806550673
616	0.04794194959
617	0.04787063054
618	0.04776563001
619	0.04771770333
620	0.04763951433
621	0.04760445708
622	0.0474996346
623	0.04749335038
624	0.04739806125
625	0.04728350612
626	0.04720433412
627	0.04699563081
628	0.04695907923
629	0.04690731568
630	0.04681314733
631	0.04678972404
632	0.04672513554
633	0.04663823879
634	0.04644789105
635	0.0464322999
636	0.04634390784
637	0.04630946411
638	0.04619315089
639	0.04610928053
640	0.04602063298
641	0.0459437117
642	0.04593524652
643	0.04591193445
644	0.04587645899
645	0.04578368571
646	0.04572016087
647	0.04563735945
648	0.0456297519
649	0.04560778437
650	0.04558406784
651	0.04555539749
652	0.04553793729
653	0.0454107544
654	0.04540465126
655	0.04534131139
656	0.04530931528
657	0.04522754215
658	0.04513837308
659	0.04510222918
660	0.04503286396
661	0.0449962666
662	0.04485908219
663	0.04479090515
664	0.04476920201
665	0.04468660148
666	0.04459135455
667	0.04451167684
668	0.04441141442
669	0.04432846718
670	0.04423923332
671	0.04411932614
672	0.0440123709
673	0.04391765466
674	0.04386907137
675	0.04384871125
676	0.04382330628
677	0.04377598759
678	0.0437014401
679	0.0436782172
680	0.04366317439
681	0.04360474778
682	0.0434976088
683	0.04347793268
684	0.04345290165
685	0.04339732793
686	0.04328947082
687	0.04326594197
688	0.04320523509
689	0.04316303651
690	0.04306568264
691	0.04301840878
692	0.04296941108
693	0.0429095458
694	0.04287278187
695	0.04278023451
696	0.04270609986
697	0.04264672745
698	0.04259881794
699	0.04246621257
700	0.04230374911
701	0.04221544189
702	0.04216794831
703	0.04210656214
704	0.04201154181
705	0.04199864446
706	0.04191914901
707	0.04184219881
708	0.04183276661
709	0.04177656181
710	0.04173087019
711	0.04166079765
712	0.04158555756
713	0.04153599586
714	0.04148611658
715	0.04142268888
716	0.04138548652
717	0.0412823993
718	0.04118903843
719	0.04114696561
720	0.04105869499
721	0.04099952155
722	0.04097576108
723	0.04092880667
724	0.04090150511
725	0.04086608622
726	0.0408320878
727	0.04072171147
728	0.04062819538
729	0.04060368668
730	0.04056100109
731	0.04053598959
732	0.04048871079
733	0.04042534807
734	0.04040036292
735	0.04029714079
736	0.04025141045
737	0.04017257258
738	0.04008439533
739	0.04004742677
740	0.04000537832
741	0.03992405595
